#Paddle1,#Paddle2,#Paddle3,#H_S1,#H_S2,#H_S3,#D_S1,#D_S2,#D_S3,#AXIS_S1,#AXIS_S2,#AXIS_S3,#ROT_ANGLE
0.000000,50.007299,10.051095,-0.667440,-0.123690,-0.734319,-0.169124,-0.935161,0.311241,-0.407610,0.179621,0.895316,178.546051
0.000000,50.007299,19.978102,-0.442302,-0.494682,-0.748103,0.069467,-0.850521,0.521334,0.506932,-0.216059,-0.834469,160.243189
0.000000,50.007299,30.029197,-0.032721,-0.690737,-0.722366,0.228794,-0.708738,0.667341,0.647964,-0.200244,-0.734878,141.271187
0.000000,50.007299,39.956204,0.363320,-0.645732,-0.671587,0.308353,-0.596877,0.740713,0.779970,-0.133040,-0.611512,128.729953
0.000000,50.007299,50.007299,0.679707,-0.403376,-0.612606,0.366624,-0.536542,0.760072,0.889712,-0.013439,-0.456325,122.467416
0.000000,50.007299,60.058394,0.847400,-0.015546,-0.530728,0.441105,-0.535754,0.719995,0.950086,0.142854,-0.277363,124.593302
0.000000,50.007299,69.985401,0.823106,0.367878,-0.432623,0.567714,-0.551883,0.610840,0.946412,0.291451,-0.139143,134.102350
0.000000,50.007299,80.036496,0.659375,0.701934,-0.269283,0.733351,-0.521617,0.436019,0.903833,0.426772,-0.030831,149.369750
0.000000,50.007299,89.963504,0.420954,0.904520,-0.068134,0.898893,-0.405905,0.165022,0.841550,0.539941,0.016011,169.880143
0.000000,50.007299,100.014599,0.232874,0.962614,0.138364,0.968160,-0.216038,-0.126469,-0.783003,-0.621837,-0.014981,169.332603
0.000000,50.007299,109.941606,0.129173,0.936894,0.324874,0.908140,0.019804,-0.418197,-0.727457,-0.685612,0.027263,148.173443
0.000000,50.007299,119.992701,0.129941,0.887293,0.442523,0.690452,0.239340,-0.682637,-0.676969,-0.725535,0.123742,127.309911
0.000000,50.007299,130.043796,0.193015,0.873782,0.446374,0.296187,0.381821,-0.875492,-0.617806,-0.725499,0.303261,107.766288
0.000000,50.007299,139.970803,0.238378,0.916683,0.320732,-0.157476,0.362366,-0.918636,-0.545495,-0.641808,0.538996,94.833477
0.000000,50.007299,150.021898,0.176924,0.979869,0.092493,-0.567780,0.178374,-0.803622,-0.446823,-0.448399,0.774136,91.627235
0.000000,50.007299,159.948905,-0.030752,0.981507,-0.188938,-0.823631,-0.131979,-0.551556,-0.350523,-0.191639,0.916738,100.086599
