#Paddle1,#Paddle2,#Paddle3,#H_S1,#H_S2,#H_S3,#D_S1,#D_S2,#D_S3,#AXIS_S1,#AXIS_S2,#AXIS_S3,#ROT_ANGLE
19.978102,19.978102,100.014599,0.954641,0.256282,-0.151590,-0.295698,0.756181,-0.583741,-0.903013,0.088804,0.420335,41.040772
19.978102,19.978102,119.992701,0.585666,0.658852,-0.472133,-0.711791,0.696696,0.089270,-0.119352,0.527635,0.841045,54.572051
19.978102,19.978102,139.970803,-0.134222,0.759686,-0.636287,-0.492526,0.506029,0.708063,0.151798,0.757971,0.634379,99.263425
19.978102,19.978102,159.948905,-0.796292,0.358770,-0.487035,-0.094551,0.721418,0.686014,0.079460,0.919724,0.384440,143.872339
19.978102,39.956204,0.000000,-0.551627,-0.747100,-0.370876,-0.411961,-0.142591,0.899975,0.457195,-0.646174,-0.611091,164.084834
19.978102,39.956204,19.978102,0.026433,-0.998839,0.040266,-0.638375,0.014131,0.769596,0.677224,-0.672155,-0.299291,142.972675
19.978102,39.956204,39.956204,0.595380,-0.719379,0.357794,-0.781711,-0.415787,0.464811,0.881526,-0.469060,0.053805,144.602436
19.978102,39.956204,60.058394,0.818517,-0.315294,0.480229,-0.380371,-0.923892,0.041734,0.953330,-0.183277,0.239942,172.206188
19.978102,39.956204,80.036496,0.891477,-0.055557,0.449646,0.209238,-0.829790,-0.517367,-0.969949,-0.043214,-0.239438,146.430236
19.978102,39.956204,100.014599,0.969873,0.174227,0.170270,0.207076,-0.221445,-0.952933,-0.987887,-0.154242,-0.016969,104.549241
19.978102,39.956204,119.992701,0.812477,0.506466,-0.288744,-0.411566,0.147495,-0.899366,-0.883685,-0.062738,0.463859,81.713293
19.978102,39.956204,139.970803,0.166215,0.675707,-0.718187,-0.970096,-0.018592,-0.242009,-0.491937,0.272017,0.827046,95.738198
19.978102,39.956204,159.948905,-0.623653,0.292327,-0.724984,-0.781570,-0.250167,0.571459,-0.263364,0.532386,0.804490,138.130286
